title	description
The Land of Cards	A royal prince arrives on an island of fascist rule and inspires a rebellion among its women in this hallucinogenic adaptation of a classic play.
Carlos Ballarta: El amor es de putos	Carlos Ballarta mocks daily life in Mexico, including public transit, the education system and the corn seller who betrays your confidence.
Donald Glover: Weirdo	"Fearlessly funny stand-up comic and sitcom star Donald Glover puts on a live show in New York, confessing his love for Cocoa Puffs and Toys ""R"" Us."
Colin Quinn: The New York Story	"The ""SNL"" veteran performs his off-Broadway show about the history of New York and the people who shape its personality. Directed by Jerry Seinfeld."
Divines	A shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer.
La Niña	A former Colombian guerrilla fighter faces challenges as she reintegrates into society and tries to overcome her traumatic memories.
Sour Grapes	A dizzying chronicle of excess and deception dissects a fascinating case of fine-wine fraud and the con man who cheated investors out of millions.
Paranoid	When a woman is brutally murdered on a playground, a group of detectives find themselves drawn into a dark conspiracy as they search for the killer.
Brown Nation	An Indian American man living with his artistic wife and contentious father-in-law struggles to handle his household and a foundering IT company.
Dieter Nuhr: Nuhr in Berlin	The cerebral and popular German cabaret comic expounds his theories on gender norms, primal instincts and a decidedly gastrointestinal Big Bang.
Little Baby Bum: Nursery Rhyme Friends	Nursery rhymes and original music for children accompanied by bright, playful animation engage and educate about numbers, shapes, colors and more.
Mumbai Cha Raja	This coming-of-age tale follows Rahul, a young boy growing up in a Mumbai slum whose alcoholic father abuses him and his mother.
Oliver Stone's Untold History of the United States	This documentary series offers an alternative take on modern American history, focusing on underreported events that shaped the nation's character.
The Beginning of Life: The Series	Using breakthroughs in technology and neuroscience, this series examines how environment affects infants – and how infants can affect our future.
True Memoirs of an International Assassin	After his publisher markets his crime novel as a memoir, a novice author finds himself forcibly recruited into a deadly political plot in Venezuela.
Einsatzgruppen: The Nazi Death Squads	This documentary series examines the Einsatzgruppen, Nazis responsible for the mass murder of Jews, Romani and Soviet prisoners in Eastern Europe.
Kathleen Madigan: Bothering Jesus	The Irish American comic riffs on everything from growing up in Missouri, signing up her parents to be Uber drivers and anything to do with bacon.
Case	A smart lawyer whose drinking and recklessness send him on a path of self-destruction finds new purpose investigating a teenager's apparent suicide.
Danger Mouse	The world's greatest super-spy returns to save the world with the help of hapless hamster Penfold and a collection of state-of-the-art gadgetry.
My Way	Former Italian prime minister Silvio Berlusconi opens up about his life, including his sex scandals, corruption trials, and friendship with Putin.
Dana Carvey: Straight White Male, 60	Emmy-winning comedian Dana Carvey blends pitch-perfect takes on big personalities with so-true-it-hurts stories from his life as a dad of millennials.
Qué pena tu serie	Javier is happily in love with Sofia, so when she breaks up their perfect life, he has to get her back – or maybe try finding a new perfect love.
The Ivory Game	Filmmakers infiltrate the corrupt global network of ivory trafficking, exposing poachers and dealers as African elephants edge closer to extinction.
Thorne: Scaredy Cat	Heading a new team whose aim is to crack the cases that leave others stumped, detective Tom Thorne finds himself on the hunt for two serial killers.
Thorne: Sleepyhead	Investigating a series of attacks on young women, detective Tom Thorne is dragged back into the nightmares of his past as he races to find a killer.
A Grand Night In: The Story of Aardman	Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary.
Highway to Heaven	Under God's direction, angel Jonathan and ex-cop Mark help troubled souls overcome adversity and embrace honesty, kindness and forgiveness.
Inborn Pair	Betrothed while in utero, a resort group president enters into an arranged marriage with a legal assistant. Despite their bickering, love blooms.
Just You	When her uptight new boss and landlord starts a war on office romances, plucky Liang-liang quickly starts looking for ways to get him to lighten up.
Love Around	After a chance meeting at a ballpark, the kind son of a former gangster tries to help an outgoing radio DJ get over her recent heartbreak.
Love Family	A wealthy heir's search for a nameless childhood sweetheart leads him to an inn run by a family with three sisters. But which one is his true love?
Love Me or Leave Me	When a marriage-phobic woman hires a seductress to test how faithful her eager-to-wed boyfriend is, her plan takes an unexpected turn.
Love Now	When her loved ones cook up a morbid plan to make her take time off from work, Yang Yiru goes on a vacation, truly believing she has terminal cancer.
Norman Lear: Just Another Version of You	"This documentary turns the spotlight on the man behind the iconic ""All in the Family,"" with comments from friends, family and famous collaborators."
Santa Pac's Merry Berry Day	Pac aims to keep Berry Day the happiest day ever by unraveling a curious mystery about his parents and thwarting Betrayus's plan to capture Santa Pac.
Spanish Affair 2	Spanish provincialism is put into the spotlight as a man from the Basque Country embarks on a mission to keep his daughter from marrying a Catalan.
The Interview	When a man who's seemingly lost everything is grabbed by police for questioning, it starts a twisted cat-and-mouse game between him and a detective.
The Last Days of Chez Nous	Successful writer Beth's tepid marriage and home life face a new round of challenges when her footloose younger sister arrives for an extended visit.
Tree Man	Entrepreneurs from Vermont and Quebec sell Christmas trees on the streets of New York, becoming a cherished part of neighborhood holiday traditions.
Winter of Our Dreams	After the death of a long-ago lover, married philanderer Rob tracks down her friend, a drug-addicted prostitute desperate to escape her dead-end life.
Women Behind Bars	This reality series recounts true stories of women who have been convicted for murder, including an in-depth examination of each crime.
Young Tiger	Aided only by a tough female police officer, a Hong Kong taxi driver tries to escape from gangsters pursuing incriminating evidence left in his cab.
Pup Star	After a singing pup with big dreams of stardom gets dognapped and escapes with a friend's help, her journey home is a fun, music-filled adventure.
I Am the Pretty Thing That Lives in the House	A nervous nurse who scares easily finds herself caring for an ailing horror novelist while living in a house with hidden secrets.
Into the Inferno	With stunning views of eruptions and lava flows, Werner Herzog captures the raw power of volcanoes and their ties to indigenous spiritual practices.
The African Doctor	Happily escaping a dictatorship, a Congolese doctor transplants his family to a small French village, where culture shock sets in for everyone.
They Are Everywhere	In counseling sessions with his therapist, preoccupied Yvan shares stories of anti-Semitism and what it's like to live as a Jew in modern France.
Trailer Park Boys: Out of the Park: Europe	The Trailer Park Boys are thrilled to get a free trip to Europe, until they arrive and learn about their corporate sponsor's unusual requirements.
West Coast	Four small-town French teens who style themselves after American rappers set out to avenge a classroom insult and end up on a mind-blowing adventure.
7 años	Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.
Containment	When a ferocious contagion sweeps through Atlanta, authorities impose a precarious quarantine on the city while scrambling to find a cure.
Joe Rogan: Triggered	Unleashing his inquisitive, intense comedic style, Rogan explores everything from raising kids and Santa Claus to pot gummies and talking to dolphins.
A Family Affair	The filmmaker hunts for the missing puzzle pieces of his family history during a visit with a complex and controversial figure: his grandmother.
A Mighty Team	When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth.
Berserk: The Golden Age Arc I - The Egg of the King	Loner Guts is recruited by Griffith and his band of mercenaries, but their ensuing success as a full-fledged army could lead to a horrible fate.
Bleach The Movie: Fade to Black	When his mind is fogged by a scimitar-weilding stranger, Mayuri destroys his laboratory, unleashing a cloud of reishi that lays waste to the Seiretei.
Bleach the Movie: Hell Verse	When a group of vicious Sinners plots to escape from this eternal prison in Hell, they discover that Substitute Soul Reaper Ichigo is the key to their freedom. The Sinners launch an attack and in the process kidnap Ichigo's younger sister.
Blind Date	A passionate pianist and a soulful puzzle maker who treasures silence aren't the best neighbors, but things get interesting when they start to date.
DEATH NOTE	When a Japanese high schooler comes into possession of a mystical notebook, he finds he has the power to kill anybody whose name he enters in it.
Naruto Shippûden the Movie: Bonds	When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet.
Naruto Shippuden: The Movie	The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die.
Power Rangers Dino Super Charge	Just when you thought the Rangers' mission was accomplished there's an even more difficult challenge for them to face with the arrival of a new enemy.
Spotless	The law-abiding owner of a crime scene cleaning service is forced into business with a powerful mob boss thanks to his irresponsible older brother.
Vampire Knight	At Cross Academy, two student disciplinary committee members are tasked with keeping the peace between a human class and a night class of vampires.
Sky Ladder: The Art of Cai Guo-Qiang	Known for his spectacular pyrotechnic displays, Chinese artist Cai Guo-Qiang creates his most ambitious project yet in this breathtaking documentary.
Mascots	Eager contestants don big heads and furry suits to vie for the title of World's Best Mascot in this offbeat, comic romp from Christopher Guest.
Justin Timberlake + the Tennessee Kids	On the final nights of a world tour, director Jonathan Demme captures what makes the show soar: gifted musicians, deft dancers and a magnetic star.
13TH	In this thought-provoking documentary, scholars, activists and politicians analyze the criminalization of African Americans and the U.S. prison boom.
Russell Peters: Almost Famous	The comic comes home to Toronto to sound off on cultural quirks, kids' furniture and bathroom visits, reveling in all things ridiculously human.
StoryBots Super Songs	Characters from the popular StoryBots apps for early childhood education give musical lessons on math, science, history, behaviors, emotions and more.
The Siege of Jadotville	Besieged by overwhelming enemy forces, Irish soldiers on a U.N. peacekeeping mission in Africa valiantly defend their outpost in this true story.
LEGO Jurassic World: The Indominus Escape	The scientists of Jurassic World create a captivating and terrifying new creature that loves hot dogs. But what happens when the hot dogs run out?
Be with Me	They were the boy band to beat until fame tore them apart. Ten years later, five friends and an ex-love reunite and find themselves closer than ever.
Be with You	After reconnecting with their girlhood crushes, two sisters find their lives turned upside down by surprising revelations and romantic intrigue.
Bombshell	In 1985, when a vessel protesting nuclear testing is sunk in New Zealand, local police fight to prove it was a terrorist plot by their French allies.
Chatô: The King of Brazil	The romanticized life of media mogul Assis Chateaubriand depicts him as the star of a televised trial, where his passions and achievements are judged.
Chewin' the Fat	Petty criminals, dodgy decorators, full-bore Glaswegians and oddball documentary presenters converge in this sketch show that parodies Scottish life.
Fall in Love with Me	The head of a struggling ad agency finds herself torn between a hotshot executive and a kind stranger – not realizing they're the same person.
Harud	A young Kashmiri man sets out to escape to Pakistan and make sense of his brother's death, but he drifts aimlessly until finding his brother's camera.
Love Cheque Charge	Three years after making a wild promise to a woman in distress, a rigid businessman runs into her again and must decide whether to honor his word.
Masha's Spooky Stories	Masha explains why there's no need to be scared of things like monsters, the dark, going to a new school, thunder and other common childhood fears.
Much Ado About Nothing	Carefree college student Vicente ends up in a desperate fight for freedom when a well-connected friend falsely accuses him of a hit-and-run accident.
Murphy's Law of Love	An online matchmaker who's convinced she's living under a curse finds her theories on life and love tested when she meets a shrewd divorce expert.
My Big Night	An unemployed man gets a job as an extra at the shooting of a New Year's Eve TV special that's beset by crises and seems to go on forever.
My Little Pony Equestria Girls: Legend of Everfree	The Equestria Girls, human teen counterparts to My Little Pony characters, head to Camp Everfree, where they need a little magic to help save summer.
Old Money	Backstabbing, blackmail and revenge consume the dysfunctional family of a wealthy patriarch as they compete to find him a new liver at all costs.
Pac's Scary Halloween	When sinister Dr. Pacenstein schemes to swap bodies with Pac during a Halloween party, Spiral, Cyli and Count Pacula scramble to save their pal.
Riphagen - The Untouchable	This biopic profiles Andries Riphagen, a Dutch criminal who blackmailed Jews in hiding during World War II and was responsible for hundreds of deaths.
Robotech	When a mysterious spaceship crashes in the Pacific, the people of Earth work to master the science of robotechnology and rebuild the giant fortress.
Skin Wars	Artists test their creativity and body painting skills as they face off in a series of elaborate challenges, vying for a grand prize of $100,000.
Someone Like You	After losing his sight and his fiancee in an accident, a man hires a caregiver who mysteriously sounds – and looks – just like his late girlfriend.
Umrika	An ambitious man leaves his small Indian village for America. But when his letters to home stop coming, his brother sets out on his own adventure.
Unchained: The Untold Story of Freestyle Motocross	This adrenaline-rush documentary traces the rise of freestyle motocross, arguably the world's most extreme sport, and spotlights its pioneers.
Welcome Mr. President	When frustrated politicians name a historical figure as the next president, an honest, humble man by the same name suddenly becomes Italy's leader.
When I See You Again	On a visit to his hometown, a rich bachelor seeks revenge on the woman who broke his heart 10 years ago. But his plan doesn't go as expected.
Amanda Knox	She was twice convicted and acquitted of murder. Amanda Knox and the people closest to her case speak out in this illuminating documentary.
Audrie & Daisy	In this wrenching documentary, two teens are sexually assaulted by boys they considered friends, humiliated online and harassed by their communities.
Iliza Shlesinger: Confirmed Kills	"The stand-up sensation tackles TV's ""Shark Tank,"" what it means to be a woman and how to deal with the lawless party goblin that lives in us all."
VeggieTales in the House	Bob the Tomato, Larry the Cucumber and their Veggie pals venture beyond the kitchen counter in these playful adventures with Christian themes.
Person of Interest	Ex-CIA agent John Reese and enigmatic billionaire Mr. Finch use software that can predict future events to prevent violent crimes before they occur.
The First Line	Two determined Athenian attorneys spearhead a lawsuit against the British Museum for the return of the Parthenon Marbles to Greece.
Beauty & the Beast	A homicide detective and a veteran who has been turned into a beast by a military experiment gone awry become allies after they meet by chance.
Karol Modzelewski, Łukasz „Lotek” Lodkowski No Offense	"Charismatic comedy pals Karol Modzelewski and Łukasz ""Lotek"" Lodkowski bring their mischievous brand of humor to Warsaw's Klub Hybrydy."
Katarzyna Piasecka, Rafał Pacześ Seriously Funny	Polish comedians Rafał Pacześ and Katarzyna Piasecka hit the stage at Warsaw's Klub Hybrydy for a night of funny anecdotes and sly jokes.
Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio	Comedians Mariusz Kałamaga, Karol Kopiec and Wiolka Walaszczyk deliver an eclectic and energetic stand-up show at Klub Hybrydy in Warsaw.
Rafał Banaś, Michał Leja Laugh out Loud	Young Polish comedians Rafał Banaś and Michał Leja present a high-energy stand-up show at Warsaw's Klub Hybrydy.
The Best of Rafał Rutkowski Olka Szczęśniak	"""Recipe for Life"" star Rafał Rutkowski and Comedy Lab's Olka Szczęśniak serve up humorous impressions and wry wit at Warsaw's Klub Hybrydy."
Tomasz Jachimek, Jacek Stramik Laugh at Live	Writer, actor and satirist Tomasz Jachimek teams up with comedian Jacek Stramik for a night of subversive stand-up at Klub Hybrydy in Warsaw.
Penny Dreadful	The classic tales of Dracula, Frankenstein, Dorian Gray and more are woven together in this horror series set on the dark streets of Victorian London.
ARQ	Trapped in a lab and stuck in a time loop, a disoriented couple fends off masked raiders while harboring a new energy source that could save humanity.
Cedric the Entertainer: Live from the Ville	"Donning his signature suit and fedora, the dapper comic offers a unique spin on getting old, the presidential election and ""Honky Tonk Badonkadonk."""
Louis C.K.: Hilarious	Emmy-winning comedy writer Louis C.K. brings his caustic wit to Milwaukee, offering up his unique and uncensored take on sex, parenting and more.
Raiders!: The Story of the Greatest Fan Film Ever Made	"Three childhood friends attempt to finish the pet project they've worked on for over 30 years: re-creating ""Raiders of the Lost Ark"" shot for shot."
The White Helmets	As daily airstrikes pound civilian targets in Syria, a group of indomitable first responders risk their lives to rescue victims from the rubble.
Natural Born Pranksters	"The biggest pranksters on YouTube – VitalyzdTV, Dennis Roady and Roman Atwood – turn Hollywood into ""Prankwood"" with their most over-the-top stunts."
Sample This	"This doc traces the impact of the Incredible Bongo Band's ""Apache,"" which played a key role in the birth of hip-hop after Kool Herc began sampling it."
Wartime Portraits	Part live-action and part animation, this visually inventive series offers striking portrayals of some of the unsung heroes of World War II.
Extremis	Witness the wrenching emotions that accompany end-of-life decisions as doctors, patients and families in a hospital ICU face harrowing choices.
Jandino: Whatever it Takes	"Jandino Asporaat riffs on the challenges of raising kids and serenades the audience with a rousing rendition of ""Sex on Fire"" in his comedy show."
Galavant	In a time of legend, Galavant the knight embarks on a quest to save his fair lady and become a hero in this tongue-in-cheek musical comedy.
Elstree 1976	"Then and now footage of bit players who appeared in ""Star Wars"" tells the story of how the film and its legions of fans changed their lives forever."
Chef's Table: France	Sample the bold new flavors of France with chefs who are pushing the boundaries of fine dining and reinventing a rich culinary tradition.
Kulipari: An Army of Frogs	In a tale of bravery and heroism, fearless frogs go to war against the sinister scorpions and spiders that have teamed up to conquer the amphibians.
A Noble Intention	In 1888 Amsterdam, a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community.
Bon Bini Holland	On the island of Curaçao, an amiable scam artist angers gangsters and flees to Holland, where his conscience is torn between a woman and a new scheme.
Conspiracy	Skeptics and others discuss widely held conspiracy theories involving aliens, government cover-ups, secret assassinations and other intrigues.
Dead Set	While the housemates in the Big Brother house remain oblivious, fast-moving hordes of the undead decimate the studio compound.
Dukhtar	A young mother embarks on a desperate quest for freedom when she kidnaps her 10-year-old daughter to save her from a tribal marriage.
Easy Fortune Happy Life	Years after a wealthy man is healed by a rural herbalist, fate lands him in the same hospital where the woman's granddaughter is treating patients.
Figaro Pho	Quirky little Figaro has a whole alphabet's worth of phobias. These wordless animated shorts follow his many fears from A to Z.
Forensic Files	Detectives and crime lab technicians use the latest and most fascinating procedures to solve crimes in this documentary-style show.
Full Out	After a debilitating accident ends her Olympic dreams, gymnast Ariana Berlin finds recovery and hope in the world of hip-hop and college athletics.
Game Winning Hit	An army deserter hiding out in a small coastal town becomes the coach of a youth baseball team and develops warm relationships in his new community.
Holy Hell	An ex-member charts his path from idealism to disenchantment in a California cult when alarming revelations about the group's leader come to light.
Lucky Days	When laidback Ren, who is about to divorce his money-crazy wife, finds a time-traveling computer, he decides to use it to reboot his marriage.
Off Course	Fed up with the uselessness of their degrees and swayed by a TV commercial, two Spaniards head to Berlin for work but find it not quite as advertised.
Saudi Arabia Uncovered	Undercover cameras expose public floggings, executions and other brutality in Saudi Arabia, and introduce those risking their own lives for change.
Station Horizon	Ex-con Joris returns to his Swiss hometown, a community obsessed with American culture and ideals, to start over and save his family's gas station.
The Fierce Wife	Beautiful housewife Xie An Zhen seems to be living the perfect life but finds her world crumbling after learning that her husband is cheating on her.
The Womanizer	Libertine He-jie finds himself torn between the lovely Amanda and fiery Xiao-qian. But now he faces a new problem: arrogant rival suitor Cheng-en.
The Year of Happiness and Love	Jiang Chen-bo is a loser without prospects for success, until a surprise promotion becomes the catalyst for his entire family's upturn in fortune.
We Need to Talk	A happy woman's new love is going great, but she needs one thing: divorce papers from her depressed ex. To get them, trickery may be in order.
Witches: A Century of Murder	Historian Suzannah Lipscomb investigates the witch hunts that plagued Britain in the 17th century, examining common myths about their origin.
Blue Is the Warmest Color	Determined to fall in love, 15-year-old Adele is focused on boys. But it's a blue-haired girl she meets on the street who really piques her interest.
Glitter Force	Five preteen girls learn they're a legendary superhero squad known as the Glitter Force. Their mission? To defend Earth from evil fairy-tale villains.
Jeff Foxworthy and Larry the Cable Guy: We’ve Been Thinking...	Grammy-nominated comedians Jeff Foxworthy and Larry the Cable Guy bring their distinctive brand of humor to a packed crowd in Minneapolis.
XOXO	The lives of a budding DJ, his loyal pal, a hopeless romantic, a jaded has-been and a troubled couple intersect at an electronic dance music festival.
Abzurdah	A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.
Jonathan Strange & Mr Norrell	In 1806, ambitious magician Norrell leads a revival of practical magic in England and ignites a fierce rivalry with bold young conjurer Strange.
Dhanak	A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
Fearless	On a journey from Brazil to the Las Vegas championships, professional bull riders risk it all to earn money, respect and titles.
I'll Sleep When I'm Dead	Superstar DJ Steve Aoki reflects on the driving force behind his career: his ambitious father, Benihana founder and perennial daredevil Rocky Aoki.
Puffin Rock	Life is sweet on beautiful Puffin Rock, where puffling Oona, her baby brother Baba and their pals learn about nature, friendship and family.
Behind Enemy Lines	After dire setbacks in 1940, Winston Churchill commissions a new kind of fighting force: commandos trained to use stealth and audacious tactics.
Being AP	With retirement staring him in the face, an all-time-great jump jockey pursues his 20th consecutive title in his unrelenting quest for glory.
Caught on Camera	Nick Wallis presents crimes caught on CCTV, cell phones and other devices and reveals how investigators use the recordings to solve tough cases.
John & Jane	Truth and fiction blend in this quasi-documentary about six exhausted workers at a Mumbai call center servicing U.S. customers.
Louis C.K.: Live at the Comedy Store	The comic puts his trademark hilarious/thought-provoking spin on finding a bat in his kitchen, seeing rats having sex, Boston accents and dead pets.
Real Crime: Supermarket Heist (Tesco Bomber)	In 2000, U.K. detectives spent months tracking a criminal known only as Sally, who was targeting a supermarket chain with extortion and letter bombs.
13 Cameras	Young parents-to-be Claire and Ryan move into a suburban rental home, unaware that someone is secretly watching their every move via hidden cameras.
Jim Gaffigan: Beyond the Pale	Comedian Jim Gaffigan cuts loose on a variety of topics, including Hot Pockets, holidays, Catholicism and his favorite activity: doing nothing.
Jim Gaffigan: King Baby	Jim Gaffigan offers up his take on bacon, bowling and other weighty topics in this stand-up performance filmed live in Austin on his 2008 comedy tour.
Jim Gaffigan: Mr. Universe	Funnyman Jim Gaffigan offers up his unique take on everything from Disney World to overweight whales in this live show from Washington, D.C.
Jim Gaffigan: Obsessed	Comic Jim Gaffigan delivers his sardonic take on topics like eating, exercise, weddings and his five kids in this live stand-up special.
David Cross: Making America Great Again!	Cross skewers Donald Trump, religious taboos and American swagger in a provocative night of comedy at the Paramount Theatre in Austin, Texas.
Ever After High	The kids of fairy-tale characters attend a school with two cliques: those who accept their fairy-tale destinies and those who want to write their own.
The Little Prince	When an overscheduled girl befriends an eccentric aviator, he regales her with tales about the adventures of an unusual boy who lives on an asteroid.
Lavell Crawford: Can a Brother Get Some Love?	"""Last Comic Standing"" runner-up Lavell Crawford lords over a hometown crowd at St. Louis's Orpheum Theatre, raking in the love – and the laughs."
APEX: The Story of the Hypercar	A visionary carmaker introduces his fuel-efficient, high-performance hypercar to a market filled with big-name competitors like Ferrari and Porsche.
Autumn's Concerto	After losing all memories of his past, a wealthy lawyer travels to a rural village where a woman he once loved now lives with her son.
Battlefield Recovery	A four-man team heads to Latvia and Poland to unearth rare World War II artifacts and shed new light on the bloody battles of the Eastern Front.
Children of God	A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children.
Cocaine	Three films chronicle the cocaine trade's sweeping impact on the citizens of Peru, Brazil and Colombia, from poor farmers to powerful drug lords.
Edge of the Universe	Leading astronomers reveal the latest discoveries about death-trap planets, asteroids, comets and other wonders of the cosmos.
Hitler's Olympics	Hitler, Nazi propaganda and 1936 Berlin Olympics are put under the microscope to uncover hidden truths and the historical legacy of those games.
Holding the Man	In 1970s Australia, two teen boys fall in love with each other and defeat obstacles to their 15-year relationship, until a new crisis comes their way.
How to Win the US Presidency	This whimsical look at rough-and-tumble American politics examines the influence of money, religion and even ancient Rome on presidential campaigns.
Interview with a Serial Killer	In this jailhouse interview, Arthur Shawcross, the Genesee River Killer, shares candid details of his crimes and his surprising family bonds.
La Esclava Blanca	In Colombia in 1821, a white orphan is taken in by black slaves. Years after being torn from them, she returns to find her family and childhood love.
Love Cuisine	A successful Taiwanese chef moves home from Europe to teach at a cooking school. He soon clashes with a pretty teacher he met under odd circumstances.
Miss Rose	Resolving to get married soon, hardworking Si-yi finds love in an unexpected place, but her ex and her job interfere with her plans.
Office Girls	A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live.
Queen of No Marriage	Sparks begin to fly when a successful 33-year-old single woman and a 25-year-old romantic with few prospects navigate love and differences.
Real Crime: Diamond Geezers	In an attempted heist worthy of a Hollywood film, a cadre of criminals sets out to steal the world's largest perfect diamond from a London landmark.
The Prince Who Turns into a Frog	Before his wedding, a cold CEO is hit by a car and awakens a changed man. As he and the driver fall in love, more changes appear on the road ahead.
Two Fathers	When two single guys learn a woman they both slept with disappeared after giving birth, they decide to raise her baby girl together as a family.
You're My Destiny	A young woman's romantic cruise ends in a twist when she gets pregnant after a one-night stand with a rich executive, turning their lives upside down.
LEGO Bionicle: The Journey to One	Six legendary heroes find themselves on an epic quest as they harness the power of nature's elements to defeat the forces of evil.
Tallulah	While searching for her ex-boyfriend, a young drifter impulsively kidnaps a baby from a neglectful mother and pretends the child is her own.
Lizzie Borden Took an Ax	This made-for-TV drama chronicles the scandal and enduring mystery surrounding Lizzie Borden, who was tried in 1892 for axing her parents to death.
Popples	The adorable Best Popple Pals love helping their friends and neighbors, but every time they do it seems to backfire in hilarious ways.
Internet Famous	Five viral Internet celebrities travel to a competition that will award one of them their own television series in this ensemble comedy.
Holidays	Eight gleefully grim short tales set on Halloween, Mother's Day, St. Patrick's Day and other holidays comprise this chilling horror anthology.
Lusers	Three men from different nations must find their way out of the Amazon jungle – on foot – when they get lost on the way to Brazil's World Cup Final.
Rebirth	Long-lost buddy Zack gets suburban dad Kyle on a bus to a Rebirth seminar, sending him down a rabbit hole of psychodrama, seduction and violence.
Tony Robbins: I Am Not Your Guru	Tony Robbins' clients swear by his unorthodox life coaching methods. A revealing film goes behind the curtain at his annual mega-event.
Gridlocked	An embittered cop is tasked with baby-sitting a spoiled actor, but the two must learn to fight together when they run afoul of a group of mercenaries.
Magi: Adventure of Sinbad	The Magi who became High King of the Seven Seas started as a boy determined to make the world a better place. He begins with a dangerous dungeon.
Summer of '92	When a quirk of fate kicks the Danish national soccer team into the European Championship final, the coach must whip his unprepared squad into shape.
The Invitation	A man accepts an invitation to a dinner party hosted by his ex-wife, an unsettling affair that reopens old wounds and creates new tensions.
NSU German History X	After German reunification, the neo-Nazi National Socialist Underground begins a killing spree while cops fight an uphill battle to catch them.
Brahman Naman	This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything – except how to talk to women.
Kuromukuro	When mecha attack a research center, its students, pilots, and researchers must fight back with the help of mysterious artifacts and a young samurai.
Between	After a mysterious disease kills every resident over 22 years old, survivors of a town must fend for themselves when the government quarantines them.
Deep	As he grapples with a life-threatening illness, a police investigator tracks the explosion of a new synthetic drug on the streets of Paris.
Exit Afghanistan	Featuring interviews with participants on all sides, this documentary questions Norway and the West's protracted military involvement in Afghanistan.
Happyish	"A middle-aged adman is shaken up by his new boss, a 25-year-old who advises him to ""rebrand"" himself. Is it possible, or is this as good as he'll get?"
Jim Jefferies: Freedumb	Returning for a second Netflix comedy special, Jim Jefferies unleashes his famously ferocious black humor to a packed house in Nashville, Tennessee.
King Jack	Already coping with a bully, a mercurial older brother and summer school, 15-year-old Jack is saddled with his young cousin for an eventful weekend.
Limitless	A failed musician unleashes his brain's full powers with a new drug and is hired to solve the FBI's hardest cases in this show based on the 2011 film.
Marco Polo	Set in a world of greed, betrayal, sexual intrigue and rivalry, “Marco Polo” is based on the famed explorer’s adventures in Kublai Khan’s court.
Operation Proposal	On Yi-seul's wedding day, her friend Baek-ho wishes he could turn back time to tell her he loves her. Soon he gets a chance to change everything.
Road to Yesterday	Their marriage failing, Victoria and Izu try to reconnect during a road trip. But bringing long-repressed secrets to light threatens yet more discord.
Stealing History	Journalists expose how smugglers, dealers, collectors and scholars promote plunder of ancient artifacts from war-torn Iraq, Afghanistan and Pakistan.
Suicide (Hitabdut)	A failed businessman must kill himself to pay off a loan shark or his family will die, but a detective discovers the case turns on a shocking secret.
The Future of Water	A look at the deeply intertwined history of humanity and fresh water reveals looming challenges that could upend power structures around the world.
X: Past Is Present	When a middle-aged filmmaker meets an alluring stranger at a party, he's haunted by troubling memories of his past relationships.
You Carry Me	A soap opera producer, director and makeup artist each face wrenching family turmoil, from teen rebellion and marital infidelity to Alzheimer's.
(T)ERROR	This real-life look at FBI counterterrorism operations features access to both sides of a sting: the government informant and the radicalized target.
Palio	In this documentary, a centuries-old horse race in the city of Siena, Italy, is the forum for a showdown between a young jockey and his former mentor.
Justin Time GO!	A young boy's imagination takes him throughout the world and history, where he learns life lessons and has tons of fun with two make-believe friends.
Sofía Niño de Rivera: Exposed	Self-deprecating comic Sofía Niño de Rivera puts her sarcasm on full display in this stand-up special filmed live at Guadalajara's Degollado Theater.
The Fundamentals of Caring	In this inspirational buddy comedy, a young shut-in and his caregiver take a road trip in search of landmarks, but end up finding hope and friendship.
Life Story	This documentary series follows wild creatures in their native habitats as they navigate the perilous journey from birth to adulthood and beyond.
Ip Man 3	Martial arts master Ip springs into action when his son's school is threatened by a shady American, then defends his status as wing chun champion.
Reincarnated	Vice magazine's Andy Capper follows rapper Snoop Dogg on a pilgrimage to Jamaica, where he rechristens himself Snoop Lion, a reggae artist.
LEGO Friends: The Power of Friendship	Five best friends face adventures side by side in their hometown. Zany antics, love and missteps are better with friends!
Bo Burnham: Make Happy	Combining his trademark wit and self-deprecating humor with original music, Bo Burnham offers up his unique twist on life in this stand-up special.
